pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DG1 1AA","DG1  1AA","DG1 1AA","198001","","S99999999","S99999999","S12000006","S13002888","S99999999","1","297306","0576203","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069639,-3.609728,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
"DG1 1AD","DG1  1AD","DG1 1AD","198608","199512","S99999999","S99999999","S12000006","S13002888","S99999999","1","297310","0576200","8","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069613,-3.609664,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
"DG1 1AE","DG1  1AE","DG1 1AE","199906","201209","S99999999","S99999999","S12000006","S13002888","S99999999","1","297283","0576151","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069167,-3.610069,"S99999999","","S23000009",392,"S99999999","S99999999","S00146516","S01015287","S02002832","2"
"DG1 1AF","DG1  1AF","DG1 1AF","202211","","S99999999","S99999999","S12000006","S13002887","S99999999","0","299099","0579173","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008308","08C30","S99999999","S01001046","S02000188","3","1A2","S00098021","S01007622","S02001433","S34000925","S03000005","S99999999","3","8A1",55.096685,-3.582715,"S99999999","","S23000009",3445,"S99999999","S99999999","S00146320","S01015298","S02002835","3"
"DG1 1AG","DG1  1AG","DG1 1AG","200607","","S99999999","S99999999","S12000006","S13002887","S99999999","0","298292","0589202","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00007549","08C30","S99999999","S01001069","S02000191","6","3A2","S00097211","S01007566","S02001421","S34000775","S03000005","S99999999","6","1B3",55.186604,-3.598953,"S99999999","","S23000009",4199,"S99999999","S99999999","S00146111","S01015239","S02002823","5"
"DG1 1AH","DG1  1AH","DG1 1AH","202304","","S99999999","S99999999","S12000006","S13002887","S99999999","0","299057","0579273","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008308","08C30","S99999999","S01001046","S02000188","3","1A2","S00098021","S01007622","S02001433","S34000925","S03000005","S99999999","3","8A1",55.097575,-3.583408,"S99999999","","S23000009",3445,"S99999999","S99999999","S00146320","S01015298","S02002835","3"
"DG1 1AJ","DG1  1AJ","DG1 1AJ","202401","","S99999999","S99999999","S12000006","S13002887","S99999999","0","299502","0580148","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008325","08C31","S99999999","S01001048","S02000189","3","4C2","S00098039","S01007620","S02001432","S34000884","S03000005","S99999999","3","6B3",55.105525,-3.576747,"S99999999","","S23000009",5782,"S99999999","S99999999","S00146310","S01015296","S02002834","3"
"DG1 1AU","DG1  1AU","DG1 1AU","200006","200710","S99999999","S99999999","S12000006","S13002888","S99999999","1","297316","0576211","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069713,-3.609574,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
"DG1 1AX","DG1  1AX","DG1 1AX","200201","200203","S99999999","S99999999","S12000006","S13002888","S99999999","1","297316","0576211","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069713,-3.609574,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
"DG1 1BA","DG1  1BA","DG1 1BA","198001","","S99999999","S99999999","S12000006","S13002888","S99999999","0","297325","0576210","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069706,-3.609433,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
"DG1 1BB","DG1  1BB","DG1 1BB","198001","199512","S99999999","S99999999","S12000006","S13002888","S99999999","1","297310","0576200","8","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069613,-3.609664,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
"DG1 1BD","DG1  1BD","DG1 1BD","198001","","S99999999","S99999999","S12000006","S13002888","S99999999","0","297309","0576174","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008561","08C28","S99999999","S01001014","S02000186","2","2B2","S00098280","S01007612","S02001430","S34000120","S03000005","S99999999","2","2B1",55.069379,-3.609670,"S99999999","","S23000009",392,"S99999999","S99999999","S00146516","S01015287","S02002832","2"
"DG1 1BF","DG1  1BF","DG1 1BF","199712","","S99999999","S99999999","S12000006","S13002888","S99999999","1","297258","0576181","1","S08000017","S99999999","S92000003","S99999999","0","S14000073","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008083","08C28","S99999999","S01001022","S02000186","2","2B1","S00097787","S01007612","S02001430","S34000110","S03000005","S99999999","2","7A2",55.069431,-3.610471,"S99999999","","S23000009",392,"S99999999","S99999999","S00146499","S01015287","S02002832","2"
