pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HG1 1AA","HG1  1AA","HG1 1AA","199002","","E99999999","E99999999","E06000065","E05014331","E04013500","1","430161","0455388","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140959","36UDHA","E65000001","E01027679","E02005779","5","2B1","E00140959","E01027679","E02005779","E33010204","E38000241","E63007692","C1","5B2",53.993672,-1.541452,"E37000058","","E23000009",29231,"E56000026","E54000051","E00140959","E01027679","E02005779","UN1"
"HG1 1AB","HG1  1AB","HG1 1AB","201202","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430223","0455533","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140975","36UDHA","E65000001","E01027678","E02005775","5","2B2","E00140975","E01027678","E02005775","E33010227","E38000241","E63007692","C1","2C1",53.994972,-1.540492,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140975","E01027678","E02005775","UN1"
"HG1 1AD","HG1  1AD","HG1 1AD","199301","201008","E99999999","E99999999","E06000065","E05014331","E04013500","0","430325","0455321","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140964","36UDHA","E65000001","E01027678","E02005775","5","5B3","E00140964","E01027678","E02005775","E33010215","E38000241","E63007692","C1","7A2",53.993061,-1.538957,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140964","E01027678","E02005775","UN1"
"HG1 1AE","HG1  1AE","HG1 1AE","199301","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430329","0455317","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140964","36UDHA","E65000001","E01027678","E02005775","5","5B3","E00140964","E01027678","E02005775","E33010215","E38000241","E63007692","C1","7A2",53.993025,-1.538897,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140964","E01027678","E02005775","UN1"
"HG1 1AF","HG1  1AF","HG1 1AF","199301","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430329","0455317","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140964","36UDHA","E65000001","E01027678","E02005775","5","5B3","E00140964","E01027678","E02005775","E33010215","E38000241","E63007692","C1","7A2",53.993025,-1.538897,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140964","E01027678","E02005775","UN1"
"HG1 1AG","HG1  1AG","HG1 1AG","199301","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430329","0455317","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140964","36UDHA","E65000001","E01027678","E02005775","5","5B3","E00140964","E01027678","E02005775","E33010215","E38000241","E63007692","C1","7A2",53.993025,-1.538897,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140964","E01027678","E02005775","UN1"
"HG1 1AH","HG1  1AH","HG1 1AH","201209","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430119","0455381","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140960","36UDHA","E65000001","E01027678","E02005775","5","2B2","E00140960","E01027678","E02005775","E33010208","E38000241","E63007692","C1","2C1",53.993612,-1.542093,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140960","E01027678","E02005775","UN1"
"HG1 1AL","HG1  1AL","HG1 1AL","202507","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430199","0455464","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140960","36UDHA","E65000001","E01027678","E02005775","5","2B2","E00140960","E01027678","E02005775","E33010210","E38000241","E63007692","C1","2C1",53.994353,-1.540865,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140960","E01027678","E02005775","UN1"
"HG1 1AQ","HG1  1AQ","HG1 1AQ","200701","200701","E99999999","E99999999","E06000065","E05014279","E04013500","1","431404","0456372","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDGQ","E00140817","36UDGQ","E65000001","E01027649","E02005773","5","1B2","E00140817","E01027649","E02005773","E33010184","E38000241","E63007692","C1","8D2",54.002442,-1.522392,"E37000058","","E23000009",16049,"E56000026","E54000051","E00140817","E01027649","E02005773","UN1"
"HG1 1AX","HG1  1AX","HG1 1AX","200309","","E99999999","E99999999","E06000065","E05014331","E04013500","0","430313","0455597","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHA","E00140975","36UDHA","E65000001","E01027678","E02005775","5","2B2","E00140975","E01027678","E02005775","E33010227","E38000241","E63007692","C1","2C1",53.995542,-1.539113,"E37000058","","E23000009",13392,"E56000026","E54000051","E00140975","E01027678","E02005775","UN1"
