pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HX1 1AA","HX1  1AA","HX1 1AA","199002","","E99999999","E99999999","E08000033","E05001386","E43000293","1","409503","0425335","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055407","00CYFS","E65000001","E01010994","E02002251","5","7A2","E00055407","E01010994","E02002251","E33009378","E38000025","E63007966","A1","2C1",53.724349,-1.857460,"E37000062","","E23000010",1974,"E56000030","E54000054","E00055407","E01034582","E02002251","UN1"
"HX1 1AB","HX1  1AB","HX1 1AB","201209","201504","E99999999","E99999999","E08000033","E05001386","E43000293","0","409309","0425466","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055409","00CYFS","E65000001","E01010994","E02002251","5","5A2","E00055409","E01010994","E02002251","E33011758","E38000025","E63007966","A1","7D4",53.725530,-1.860396,"E37000062","","E23000010",1974,"E56000030","E54000054","E00055409","E01034582","E02002251","UN1"
"HX1 1AD","HX1  1AD","HX1 1AD","198001","202506","E99999999","E99999999","E08000033","E05001386","E43000293","1","409258","0425086","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055407","00CYFS","E65000001","E01010994","E02002251","5","7A2","E00055407","E01010994","E02002251","E33009379","E38000025","E63007966","A1","2C1",53.722116,-1.861180,"E37000062","","E23000010",1974,"E56000030","E54000054","E00055407","E01034582","E02002251","UN1"
"HX1 1AE","HX1  1AE","HX1 1AE","201209","","E99999999","E99999999","E08000033","E05001386","E43000293","0","409240","0425238","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055408","00CYFS","E65000001","E01010994","E02002251","5","2A2","E00055408","E01010994","E02002251","E33009390","E38000025","E63007966","A1","2C2",53.723482,-1.861449,"E37000062","","E23000010",1974,"E56000030","E54000054","E00178714","E01034582","E02002251","UN1"
"HX1 1AF","HX1  1AF","HX1 1AF","201310","","E99999999","E99999999","E08000033","E05001386","E43000293","0","409490","0425021","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055407","00CYFS","E65000001","E01010994","E02002251","5","7A2","E00055407","E01010994","E02002251","E33009383","E38000025","E63007966","A1","2C1",53.721527,-1.857666,"E37000062","","E23000010",1974,"E56000030","E54000054","E00055407","E01034582","E02002251","UN1"
"HX1 1AG","HX1  1AG","HX1 1AG","201806","","E99999999","E99999999","E08000033","E05001386","E43000293","0","409389","0425603","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055408","00CYFS","E65000001","E01010994","E02002251","5","2A2","E00055408","E01010994","E02002251","E33009387","E38000025","E63007966","A1","2C2",53.726760,-1.859180,"E37000062","","E23000010",1974,"E56000030","E54000054","E00178718","E01034582","E02002251","UN1"
"HX1 1AH","HX1  1AH","HX1 1AH","202407","","E99999999","E99999999","E08000033","E05001386","E43000293","0","409661","0425118","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055407","00CYFS","E65000001","E01010994","E02002251","5","7A2","E00055407","E01010994","E02002251","E33009381","E38000025","E63007966","A1","2C1",53.722396,-1.855072,"E37000062","","E23000010",1974,"E56000030","E54000054","E00055407","E01034582","E02002251","UN1"
"HX1 1AJ","HX1  1AJ","HX1 1AJ","202503","","E99999999","E99999999","E08000033","E05001386","E43000293","0","409587","0424899","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055407","00CYFS","E65000001","E01010994","E02002251","5","7A2","E00055407","E01010994","E02002251","E33009377","E38000025","E63007966","A1","2C1",53.720429,-1.856200,"E37000062","","E23000010",1974,"E56000030","E54000054","E00055407","E01034582","E02002251","UN1"
"HX1 1BA","HX1  1BA","HX1 1BA","198301","198612","E99999999","E99999999","E08000033","E05001386","E43000293","1","409200","0425100","8","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055408","00CYFS","E65000001","E01010994","E02002251","5","2A2","E00055408","E01010994","E02002251","E33009388","E38000025","E63007966","A1","2C2",53.722242,-1.862059,"E37000062","","E23000010",1974,"E56000030","E54000054","E00178714","E01034582","E02002251","UN1"
"HX1 1BB","HX1  1BB","HX1 1BB","199507","","E99999999","E99999999","E08000033","E05001386","E43000293","1","409214","0425097","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGL","E00055408","00CYFS","E65000001","E01010994","E02002251","5","2A2","E00055408","E01010994","E02002251","E33009388","E38000025","E63007966","A1","2C2",53.722215,-1.861847,"E37000062","","E23000010",1974,"E56000030","E54000054","E00178714","E01034582","E02002251","UN1"
