pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"KW1 4AA","KW1  4AA","KW1 4AA","198001","","S99999999","S99999999","S12000017","S13002992","S99999999","1","336230","0951308","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027665","18C08","S99999999","S01003984","S02000766","5","6B2","S00118928","S01010782","S02002028","S34001789","S03000044","S99999999","5","8C2",58.445375,-3.094157,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162208","S01017958","S02003331","4"
"KW1 4AB","KW1  4AB","KW1 4AB","198001","","S99999999","S99999999","S12000017","S13002992","S99999999","1","336404","0950975","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.442410,-3.091084,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AD","KW1  4AD","KW1 4AD","198001","199912","S99999999","S99999999","S12000017","S13002992","S99999999","1","336407","0950964","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.442312,-3.091030,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AE","KW1  4AE","KW1 4AE","198001","201002","S99999999","S99999999","S12000017","S13002992","S99999999","0","336407","0950964","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.442312,-3.091030,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AF","KW1  4AF","KW1 4AF","198001","201606","S99999999","S99999999","S12000017","S13002992","S99999999","0","336404","0950975","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.442410,-3.091084,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AG","KW1  4AG","KW1 4AG","198001","","S99999999","S99999999","S12000017","S13002992","S99999999","1","336294","0950911","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.441820,-3.092950,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AH","KW1  4AH","KW1 4AH","198001","","S99999999","S99999999","S12000017","S13002992","S99999999","0","336343","0950956","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.442231,-3.092124,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AJ","KW1  4AJ","KW1 4AJ","198001","","S99999999","S99999999","S12000017","S13002992","S99999999","0","336319","0950951","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.442183,-3.092533,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AL","KW1  4AL","KW1 4AL","198001","199606","S99999999","S99999999","S12000017","S13002992","S99999999","1","336300","0950930","8","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.441991,-3.092853,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AN","KW1  4AN","KW1 4AN","198001","200209","S99999999","S99999999","S12000017","S13002992","S99999999","1","336294","0950911","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.441820,-3.092950,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
"KW1 4AP","KW1  4AP","KW1 4AP","198001","","S99999999","S99999999","S12000017","S13002992","S99999999","0","336298","0950878","1","S08000022","S99999999","S92000003","S99999999","0","S14000069","S15000001","S09000003","S22000083","S03000044","S30000055","99ZZ00","S00027662","18C08","S99999999","S01003984","S02000766","5","6B1","S00118925","S01010782","S02002028","S34001805","S03000044","S99999999","5","7A2",58.441524,-3.092872,"S99999999","","S23000009",1555,"S99999999","S99999999","S00162224","S01017958","S02003331","4"
