pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LD1 5AA","LD1  5AA","LD1 5AA","201005","201105","W99999999","W99999999","W06000023","W05001143","W04000293","1","305969","0261273","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRL","W00002420","00NNRL","W31000001","W01000454","W02000109","2","6B1","W00002420","W01000454","W02000109","W35000175","W11000024","W45000870","D2","5B3",52.241593,-3.378550,"W99999999","","W15000004",378,"W99999999","W99999999","W00002420","W01000454","W02000109","RLF1"
"LD1 5AB","LD1  5AB","LD1 5AB","200112","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306543","0262536","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.253043,-3.370496,"W99999999","","W15000004",769,"W99999999","W99999999","W00010318","W01000455","W02000109","RLF1"
"LD1 5AD","LD1  5AD","LD1 5AD","200707","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306147","0261837","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002422","00NNRM","W31000001","W01000455","W02000109","2","1B1","W00002422","W01000455","W02000109","W35001358","W11000024","W45000870","D2","8D1",52.246693,-3.376101,"W99999999","","W15000004",769,"W99999999","W99999999","W00002422","W01000455","W02000109","RLF1"
"LD1 5AE","LD1  5AE","LD1 5AE","199412","","W99999999","W99999999","W06000023","W05001143","W04000293","0","306862","0261294","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRN","W00002429","00NNRN","W31000001","W01000456","W02000109","3","4B4","W00002429","W01000456","W02000109","W35001358","W11000024","W45000870","D2","6A3",52.241934,-3.365481,"W99999999","","W15000004",701,"W99999999","W99999999","W00002429","W01000456","W02000109","RSF1"
"LD1 5AF","LD1  5AF","LD1 5AF","201401","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306518","0262169","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.249740,-3.370760,"W99999999","","W15000004",769,"W99999999","W99999999","W00010355","W01000455","W02000109","RLF1"
"LD1 5AG","LD1  5AG","LD1 5AG","201101","201105","W99999999","W99999999","W06000023","W05001142","W04000293","0","306467","0262202","3","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.250028,-3.371516,"W99999999","","W15000004",769,"W99999999","W99999999","W00010355","W01000455","W02000109","RLF1"
"LD1 5AH","LD1  5AH","LD1 5AH","202408","","W99999999","W99999999","W06000023","W05001136","W04000286","0","308754","0264573","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRH","W00002406","00NNRH","W31000001","W01000451","W02000108","3","3B2","W00002406","W01000451","W02000108","W35001354","W11000024","W45000867","F2","1A1",52.271723,-3.338666,"W99999999","","W15000004",1288,"W99999999","W99999999","W00002406","W01000451","W02000108","RSF1"
"LD1 5AJ","LD1  5AJ","LD1 5AJ","201811","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306427","0262155","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.249599,-3.372089,"W99999999","","W15000004",769,"W99999999","W99999999","W00010355","W01000455","W02000109","RLF1"
"LD1 5AL","LD1  5AL","LD1 5AL","199501","","W99999999","W99999999","W06000023","W05001143","W04000293","0","305622","0259836","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRN","W00002435","00NNRN","W31000001","W01000456","W02000109","3","3B1","W00009781","W01000456","W02000109","W35001359","W11000024","W45000870","E2","6A3",52.228618,-3.383229,"W99999999","","W15000004",701,"W99999999","W99999999","W00009781","W01000456","W02000109","RSF1"
"LD1 5AN","LD1  5AN","LD1 5AN","202205","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306467","0262792","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002426","00NNRM","W31000001","W01000455","W02000109","2","3A2","W00002426","W01000455","W02000109","W35001361","W11000024","W45000870","D2","8A1",52.255331,-3.371680,"W99999999","","W15000004",769,"W99999999","W99999999","W00002426","W01000455","W02000109","RLF1"
"LD1 5AP","LD1  5AP","LD1 5AP","200509","","W99999999","W99999999","W06000023","W05001143","W04000293","1","305975","0261281","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRL","W00002420","00NNRL","W31000001","W01000454","W02000109","2","6B1","W00002420","W01000454","W02000109","W35000175","W11000024","W45000870","D2","5B3",52.241666,-3.378464,"W99999999","","W15000004",378,"W99999999","W99999999","W00002420","W01000454","W02000109","RLF1"
"LD1 5AQ","LD1  5AQ","LD1 5AQ","202409","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306518","0262169","5","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.249740,-3.370760,"W99999999","","W15000004",769,"W99999999","W99999999","W00010355","W01000455","W02000109","RLF1"
"LD1 5AR","LD1  5AR","LD1 5AR","202501","","W99999999","W99999999","W06000023","W05001143","W04000293","0","306035","0260929","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRN","W00002430","00NNRN","W31000001","W01000456","W02000109","2","2B1","W00002430","W01000456","W02000109","W35001359","W11000024","W45000870","D2","7A1",52.238512,-3.377488,"W99999999","","W15000004",701,"W99999999","W99999999","W00002430","W01000456","W02000109","RLF1"
"LD1 5BA","LD1  5BA","LD1 5BA","200501","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306385","0262295","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.250850,-3.372743,"W99999999","","W15000004",769,"W99999999","W99999999","W00010318","W01000455","W02000109","RLF1"
"LD1 5BB","LD1  5BB","LD1 5BB","198001","","W99999999","W99999999","W06000023","W05001143","W04000293","0","305968","0261271","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRL","W00002420","00NNRL","W31000001","W01000454","W02000109","2","6B1","W00002420","W01000454","W02000109","W35000175","W11000024","W45000870","D2","5B3",52.241575,-3.378564,"W99999999","","W15000004",378,"W99999999","W99999999","W00002420","W01000454","W02000109","RLF1"
"LD1 5BD","LD1  5BD","LD1 5BD","198001","","W99999999","W99999999","W06000023","W05001143","W04000293","0","305991","0261229","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRL","W00002417","00NNRL","W31000001","W01000454","W02000109","2","2B1","W00002417","W01000454","W02000109","W35001360","W11000024","W45000870","D2","7A1",52.241201,-3.378216,"W99999999","","W15000004",378,"W99999999","W99999999","W00002417","W01000454","W02000109","RLF1"
"LD1 5BE","LD1  5BE","LD1 5BE","198001","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306031","0261577","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002427","00NNRM","W31000001","W01000455","W02000109","2","6B3","W00002427","W01000455","W02000109","W35001361","W11000024","W45000870","D2","8C2",52.244336,-3.377727,"W99999999","","W15000004",769,"W99999999","W99999999","W00002427","W01000455","W02000109","RLF1"
"LD1 5BF","LD1  5BF","LD1 5BF","200705","","W99999999","W99999999","W06000023","W05001142","W04000293","0","306478","0262290","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000011","W11000024","W06000023","00NNRM","W00002423","00NNRM","W31000001","W01000455","W02000109","4","3A2","W00002423","W01000455","W02000109","W35001358","W11000024","W45000870","D2","1B1",52.250821,-3.371380,"W99999999","","W15000004",769,"W99999999","W99999999","W00010355","W01000455","W02000109","RLF1"
