pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SM1 1AA","SM1  1AA","SM1 1AA","199002","","E99999999","E99999999","E09000029","E05013765","E43000219","1","525899","0163844","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166822","E01004142","E02000851","E33031644","E38000245","E63012369","A1","3D1",51.359722,-0.193121,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181016","E01034156","E02000851","UN1"
"SM1 1AB","SM1  1AB","SM1 1AB","199912","200207","E99999999","E99999999","E09000029","E05013765","E43000219","1","525907","0163866","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166822","E01004142","E02000851","E33031644","E38000245","E63012369","A1","3D1",51.359918,-0.192999,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181016","E01034156","E02000851","UN1"
"SM1 1AD","SM1  1AD","SM1 1AD","199512","201502","E99999999","E99999999","E09000029","E05013765","E43000219","0","525975","0164133","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166824","E01004142","E02000851","E33031646","E38000245","E63012369","A1","3D1",51.362302,-0.191928,"E37000051","","E23000001",10196,"E56000021","E54000031","E00166824","E01034156","E02000851","UN1"
"SM1 1AE","SM1  1AE","SM1 1AE","199507","200402","E99999999","E99999999","E09000029","E05013765","E43000219","1","525907","0163866","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166822","E01004142","E02000851","E33031644","E38000245","E63012369","A1","3D1",51.359918,-0.192999,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181016","E01034156","E02000851","UN1"
"SM1 1AF","SM1  1AF","SM1 1AF","199812","200207","E99999999","E99999999","E09000029","E05013765","E43000219","1","525907","0163866","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166822","E01004142","E02000851","E33031644","E38000245","E63012369","A1","3D1",51.359918,-0.192999,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181016","E01034156","E02000851","UN1"
"SM1 1AG","SM1  1AG","SM1 1AG","201004","","E99999999","E99999999","E09000029","E05013765","E43000219","0","525763","0164077","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166825","E01004142","E02000851","E33031647","E38000245","E63012369","A1","3D1",51.361846,-0.194991,"E37000051","","E23000001",10196,"E56000021","E54000031","E00166825","E01034156","E02000851","UN1"
"SM1 1AH","SM1  1AH","SM1 1AH","201701","","E99999999","E99999999","E09000029","E05013765","E43000219","0","525690","0164846","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020843","00BFGM","E65000001","E01004142","E02000851","5","5B4","E00020843","E01004142","E02000851","E33036119","E38000245","E63012369","A1","7A3",51.368773,-0.195768,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181006","E01034155","E02000851","UN1"
"SM1 1AJ","SM1  1AJ","SM1 1AJ","201704","","E99999999","E99999999","E09000029","E05013765","E43000219","0","525700","0164909","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020843","00BFGM","E65000001","E01004142","E02000851","5","5B4","E00020843","E01004142","E02000851","E33036119","E38000245","E63012369","A1","7A3",51.369337,-0.195602,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181019","E01034155","E02000851","UN1"
"SM1 1AL","SM1  1AL","SM1 1AL","200112","201902","E99999999","E99999999","E09000029","E05013765","E43000219","1","525907","0163866","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020829","00BFGM","E65000001","E01004142","E02000851","5","2A2","E00166822","E01004142","E02000851","E33031644","E38000245","E63012369","A1","3D1",51.359918,-0.192999,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181016","E01034156","E02000851","UN1"
"SM1 1AN","SM1  1AN","SM1 1AN","201701","","E99999999","E99999999","E09000029","E05013765","E43000219","0","525669","0164898","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020843","00BFGM","E65000001","E01004142","E02000851","5","5B4","E00020843","E01004142","E02000851","E33036119","E38000245","E63012369","A1","7A3",51.369245,-0.196051,"E37000051","","E23000001",10196,"E56000021","E54000031","E00181019","E01034155","E02000851","UN1"
