pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"WC1A1AA","WC1A 1AA","WC1A 1AA","199002","199806","E99999999","E99999999","E09000007","E05013653","E43000197","1","529900","0181400","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGE","E00004171","00AGGE","E65000001","E01000855","E02000193","5","2A2","E00174659","E01000855","E02000193","E33031761","E38000240","E63011985","A1","2D3",51.516597,-0.129253,"E37000051","","E23000001",19276,"E56000027","E54000028","E00174659","E01000855","E02000193","UN1"
"WC1A1AB","WC1A 1AB","WC1A 1AB","200705","","E99999999","E99999999","E09000007","E05013662","E43000197","0","530185","0181405","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004522","00AGGP","E65000001","E01000919","E02000193","5","2A2","E00004522","E01000919","E02000193","E33029339","E38000240","E63011985","A1","2B2",51.516576,-0.125146,"E37000051","","E23000001",12962,"E56000027","E54000028","E00004522","E01000919","E02000193","UN1"
"WC1A1AD","WC1A 1AD","WC1A 1AD","201711","","E99999999","E99999999","E09000007","E05013653","E43000197","0","530294","0181500","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004560","00AGGP","E65000001","E01000918","E02000193","5","7B2","E00004560","E01000918","E02000193","E33029474","E38000240","E63011985","A1","3B2",51.517405,-0.123541,"E37000051","","E23000001",13788,"E56000027","E54000028","E00004560","E01000918","E02000193","UN1"
"WC1A1AE","WC1A 1AE","WC1A 1AE","201908","201909","E99999999","E99999999","E09000007","E05013662","E43000197","0","530218","0181446","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004560","00AGGP","E65000001","E01000918","E02000193","5","7B2","E00004560","E01000918","E02000193","E33029471","E38000240","E63011985","A1","3B2",51.516937,-0.124656,"E37000051","","E23000001",13788,"E56000027","E54000028","E00004560","E01000918","E02000193","UN1"
"WC1A1AH","WC1A 1AH","WC1A 1AH","199906","200302","E99999999","E99999999","E09000007","E05013653","E43000197","1","529992","0181444","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGE","E00004171","00AGGE","E65000001","E01000855","E02000193","5","2A2","E00174659","E01000855","E02000193","E33031771","E38000240","E63011985","A1","2D3",51.516971,-0.127912,"E37000051","","E23000001",19276,"E56000027","E54000028","E00174659","E01000855","E02000193","UN1"
"WC1A1AJ","WC1A 1AJ","WC1A 1AJ","198504","198612","E99999999","E99999999","E09000033","E05013808","E43000236","1","529800","0181300","8","E18000007","E40000003","E92000001","E12000007","5","E14001172","E15000007","E24000014","E30000234","E16000057","E09000033","00BKGW","E00024131","00BKGW","E65000001","E01004763","E02000972","5","2A1","E00175194","E01004763","E02000972","E33032003","E38000256","E63011985","A1","2B2",51.515721,-0.130730,"E37000051","","E23000001",11768,"E56000021","E54000027","E00175194","E01004763","E02000972","UN1"
"WC1A1AL","WC1A 1AL","WC1A 1AL","198504","199112","E99999999","E99999999","E09000007","E05013662","E43000197","1","530000","0181400","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004522","00AGGP","E65000001","E01000919","E02000193","5","2A2","E00004522","E01000919","E02000193","E33029337","E38000240","E63011985","A1","2B2",51.516574,-0.127813,"E37000051","","E23000001",12962,"E56000027","E54000028","E00004522","E01000919","E02000193","UN1"
"WC1A1AP","WC1A 1AP","WC1A 1AP","198604","","E99999999","E99999999","E09000007","E05013653","E43000197","0","530166","0181492","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004561","00AGGP","E65000001","E01000918","E02000193","5","2A2","E00004561","E01000918","E02000193","E33029478","E38000240","E63011985","A1","2B2",51.517362,-0.125388,"E37000051","","E23000001",13788,"E56000027","E54000028","E00004561","E01000918","E02000193","UN1"
"WC1A1AR","WC1A 1AR","WC1A 1AR","198604","199212","E99999999","E99999999","E09000007","E05013653","E43000197","1","530100","0181500","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004561","00AGGP","E65000001","E01000918","E02000193","5","2A2","E00004561","E01000918","E02000193","E33029477","E38000240","E63011985","A1","2B2",51.517449,-0.126336,"E37000051","","E23000001",13788,"E56000027","E54000028","E00004561","E01000918","E02000193","UN1"
"WC1A1AS","WC1A 1AS","WC1A 1AS","198803","199912","E99999999","E99999999","E09000007","E05013662","E43000197","1","529886","0181366","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGP","E00004530","00AGGP","E65000001","E01000919","E02000193","5","2A2","E00004530","E01000919","E02000193","E33029397","E38000240","E63011985","A1","3B3",51.516294,-0.129467,"E37000051","","E23000001",12962,"E56000027","E54000028","E00004530","E01000919","E02000193","UN1"
