pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"ZE1 0AA","ZE1  0AA","ZE1 0AA","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","1","447759","1141280","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036967","27C06","S99999999","S01005504","S02001052","5","2B1","S00129053","S01012396","S02002324","S34002502","S03000037","S99999999","5","7A1",60.153231,-1.141602,"S99999999","","S23000009",4698,"S99999999","S99999999","S00174799","S01019729","S02003653","4"
"ZE1 0AB","ZE1  0AB","ZE1 0AB","198001","","S99999999","S99999999","S12000027","S13003153","S99999999","0","447819","1141255","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036967","27C06","S99999999","S01005504","S02001052","5","2B1","S00129053","S01012396","S02002324","S34002502","S03000037","S99999999","5","7A1",60.153000,-1.140528,"S99999999","","S23000009",4698,"S99999999","S99999999","S00174799","S01019729","S02003653","4"
"ZE1 0AD","ZE1  0AD","ZE1 0AD","199210","","S99999999","S99999999","S12000027","S13002777","S99999999","1","447759","1141280","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036967","27C06","S99999999","S01005504","S02001052","5","2B1","S00129053","S01012396","S02002324","S34002502","S03000037","S99999999","5","7A1",60.153231,-1.141602,"S99999999","","S23000009",4698,"S99999999","S99999999","S00174799","S01019729","S02003653","4"
"ZE1 0AE","ZE1  0AE","ZE1 0AE","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447793","1141217","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036967","27C06","S99999999","S01005504","S02001052","5","2B1","S00129053","S01012396","S02002324","S34002502","S03000037","S99999999","5","7A1",60.152662,-1.141005,"S99999999","","S23000009",4698,"S99999999","S99999999","S00174799","S01019729","S02003653","4"
"ZE1 0AF","ZE1  0AF","ZE1 0AF","198001","","S99999999","S99999999","S12000027","S13003153","S99999999","0","447973","1141183","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036968","27C04","S99999999","S01005502","S02001052","5","5B2","S00129054","S01012397","S02002324","S34002511","S03000037","S99999999","5","5B3",60.152335,-1.137771,"S99999999","","S23000009",3795,"S99999999","S99999999","S00174805","S01019729","S02003653","4"
"ZE1 0AG","ZE1  0AG","ZE1 0AG","198001","","S99999999","S99999999","S12000027","S13003153","S99999999","0","447867","1141189","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036969","27C04","S99999999","S01005502","S02001052","5","5B2","S00129055","S01012397","S02002324","S34002511","S03000037","S99999999","5","7A1",60.152402,-1.139679,"S99999999","","S23000009",3795,"S99999999","S99999999","S00174805","S01019729","S02003653","4"
"ZE1 0AH","ZE1  0AH","ZE1 0AH","198001","","S99999999","S99999999","S12000027","S13003153","S99999999","0","448000","1141073","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036966","27C04","S99999999","S01005502","S02001052","5","3A1","S00129052","S01012397","S02002324","S34002511","S03000037","S99999999","5","1B1",60.151345,-1.137311,"S99999999","","S23000009",3795,"S99999999","S99999999","S00174812","S01019729","S02003653","4"
"ZE1 0AJ","ZE1  0AJ","ZE1 0AJ","199305","","S99999999","S99999999","S12000027","S13002777","S99999999","1","447782","1141262","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036967","27C06","S99999999","S01005504","S02001052","5","2B1","S00129053","S01012396","S02002324","S34002502","S03000037","S99999999","5","7A1",60.153067,-1.141192,"S99999999","","S23000009",4698,"S99999999","S99999999","S00174799","S01019729","S02003653","4"
"ZE1 0AL","ZE1  0AL","ZE1 0AL","198001","","S99999999","S99999999","S12000027","S13003153","S99999999","0","447818","1141182","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036969","27C04","S99999999","S01005502","S02001052","5","5B2","S00129055","S01012397","S02002324","S34002511","S03000037","S99999999","5","7A1",60.152345,-1.140563,"S99999999","","S23000009",3795,"S99999999","S99999999","S00174805","S01019729","S02003653","4"
"ZE1 0AN","ZE1  0AN","ZE1 0AN","198001","","S99999999","S99999999","S12000027","S13003153","S99999999","0","447966","1141213","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036968","27C04","S99999999","S01005502","S02001052","5","5B2","S00129054","S01012397","S02002324","S34002511","S03000037","S99999999","5","5B3",60.152606,-1.137890,"S99999999","","S23000009",3795,"S99999999","S99999999","S00174805","S01019729","S02003653","4"
